nome_arquivo,rotulo
f-005-01.jpg,1
f-006-01.jpg,1
f-007-01.jpg,1
f-008-01.jpg,1
f-009-01.jpg,1
f-010-01.jpg,1
f-011-01.jpg,1
f-012-01.jpg,1
f-013-01.jpg,1
f-014-01.jpg,1
f-015-01.jpg,1
f-016-01.jpg,1
f-017-01.jpg,1
f-018-01.jpg,1
f-019-01.jpg,1
f-020-01.jpg,1
f-021-01.jpg,1
f-022-01.jpg,1
f-023-01.jpg,1
f-024-01.jpg,1
f-025-01.jpg,1
f-026-01.jpg,1
f-027-01.jpg,1
f-028-01.jpg,1
f-029-01.jpg,1
f-030-01.jpg,1
f-031-01.jpg,1
f-032-01.jpg,1
f-033-01.jpg,1
f-034-01.jpg,1
f-035-01.jpg,1
f-036-01.jpg,1
f-037-01.jpg,1
f-038-01.jpg,1
f-039-01.jpg,1
f-040-01.jpg,1
f-041-01.jpg,1
f-042-01.jpg,1
f-043-01.jpg,1
f1-001-01.jpg,1
f1-002-01.jpg,1
f1-003-01.jpg,1
f1-004-01.jpg,1
f1-005-01.jpg,1
f1-006-01.jpg,1
f1-007-01.jpg,1
f1-008-01.jpg,1
f1-009-01.jpg,1
f1-010-01.jpg,1
f1-011-01.jpg,1
f1-012-01.jpg,1
f1-013-01.jpg,1
f1-014-01.jpg,1
f1-015-01.jpg,1
m-008-01.jpg,0
m-009-01.jpg,0
m-010-01.jpg,0
m-011-01.jpg,0
m-012-01.jpg,0
m-013-01.jpg,0
m-014-01.jpg,0
m-015-01.jpg,0
m-016-01.jpg,0
m-017-01.jpg,0
m-018-01.jpg,0
m-019-01.jpg,0
m-021-01.jpg,0
m-022-01.jpg,0
m-023-01.jpg,0
m-024-01.jpg,0
m-025-01.jpg,0
m-026-01.jpg,0
m-027-01.jpg,0
m-028-01.jpg,0
m-029-01.jpg,0
m-030-01.jpg,0
m-031-01.jpg,0
m-032-01.jpg,0
m-033-01.jpg,0
m-034-01.jpg,0
m-035-01.jpg,0
m-036-01.jpg,0
m-037-01.jpg,0
m-038-01.jpg,0
m-039-01.jpg,0
m-040-01.jpg,0
m-041-01.jpg,0
m-042-01.jpg,0
m-043-01.jpg,0
m-044-01.jpg,0
m-045-01.jpg,0
m-046-01.jpg,0
m-047-01.jpg,0
m-048-01.jpg,0
m-049-01.jpg,0
m-050-01.jpg,0
m-051-01.jpg,0
m-052-01.jpg,0
m-053-01.jpg,0
m-054-01.jpg,0
m-055-01.jpg,0
m-056-01.jpg,0
m-057-01.jpg,0
m-058-01.jpg,0
m-059-01.jpg,0
m-060-01.jpg,0
m-061-01.jpg,0
m-062-01.jpg,0
m-063-01.jpg,0
m-064-01.jpg,0
m-065-01.jpg,0
m-066-01.jpg,0
m-067-01.jpg,0
m-068-01.jpg,0
m-069-01.jpg,0
m-070-01.jpg,0
m-071-01.jpg,0
m-072-01.jpg,0
m-073-01.jpg,0
m-074-01.jpg,0
m-075-01.jpg,0
m-076-01.jpg,0
m-077-01.jpg,0
m-078-01.jpg,0
m-079-01.jpg,0
m-080-01.jpg,0
m-081-01.jpg,0
m-082-01.jpg,0
m-083-01.jpg,0
m-084-01.jpg,0
m-085-01.jpg,0
m-086-01.jpg,0
m-087-01.jpg,0
m-088-01.jpg,0
m-089-01.jpg,0
m-090-01.jpg,0
m-091-01.jpg,0
m-092-01.jpg,0
m-093-01.jpg,0
m-094-01.jpg,0
m-095-01.jpg,0
m-096-01.jpg,0
m-097-01.jpg,0
m-098-01.jpg,0
m-099-01.jpg,0
m-100-01.jpg,0
m-101-01.jpg,0
m1-001-01.jpg,0
m1-002-01.jpg,0
m1-003-01.jpg,0
m1-004-01.jpg,0
m1-005-01.jpg,0
m1-006-01.jpg,0
m1-007-01.jpg,0
m1-008-01.jpg,0
m1-009-01.jpg,0
m1-010-01.jpg,0
m1-011-01.jpg,0
m1-012-01.jpg,0
m1-013-01.jpg,0
m1-014-01.jpg,0
m1-015-01.jpg,0
m1-016-01.jpg,0
m1-017-01.jpg,0
m1-018-01.jpg,0
m1-019-01.jpg,0
m1-020-01.jpg,0
m1-021-01.jpg,0
m1-022-01.jpg,0
m1-023-01.jpg,0
m1-024-01.jpg,0
m1-025-01.jpg,0
m1-026-01.jpg,0
m1-027-01.jpg,0
m1-028-01.jpg,0
m1-029-01.jpg,0
m1-030-01.jpg,0
m1-031-01.jpg,0
m1-032-01.jpg,0
m1-033-01.jpg,0
m1-034-01.jpg,0
m1-035-01.jpg,0
m1-036-01.jpg,0
m1-037-01.jpg,0
m1-038-01.jpg,0
m1-039-01.jpg,0
m1-040-01.jpg,0
m1-041-01.jpg,0
